,Mnemonic,SpeciesNANme,OrigiNANlSource,Site,Date,Tag,HeightOfMeasurement,Diameter,Height,CrowNANrea
1,ade1tr,Adelia triloba,WrightBCI2007,BCI50ha,NAN,85986,NAN,14,15.5,35.86426956
2,ade1tr,Adelia triloba,WrightBCI2007,BCI50ha,NAN,92252,NAN,12.5,NAN,NAN
3,ade1tr,Adelia triloba,MullerLandauBCI2000,BCI50ha,NAN,114732,NAN,21.4,9.8,NAN
4,ade1tr,Adelia triloba,WrightBCI2007,BCI50ha,NAN,256906,NAN,12.9,12.9,44.76965881
5,ade1tr,Adelia triloba,WrightBCI2007,BCI50ha,NAN,63743,NAN,16.3,15.2,45.21549499
6,ade1tr,Adelia triloba,WrightBCI2007,BCI50ha,NAN,64037,NAN,12.4,9.07,19.81206628
7,ade1tr,Adelia triloba,MullerLandauBCI2000,BCI50ha,NAN,114807,NAN,22.1,11.8,NAN
8,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,252898,NAN,30.9,17.5,NAN
9,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,128230,NAN,31.2,16.9,NAN
10,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,87710,NAN,31.3,19.2,NAN
11,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,257818,NAN,21,16.9,NAN
12,alchco,Alchornea costaricensis,BohlmanBCI1997,BCI50ha,NAN,2982,NAN,59.9,16.85,95.37906712
13,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,187970,NAN,7.4,9.31,NAN
14,alchco,Alchornea costaricensis,WrightBCI2007,BCI50ha,NAN,87943,NAN,55.2,14.81748201,220.3532722
15,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,252891,NAN,8.8,4.72,NAN
16,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,257848,NAN,30.2,16.7,NAN
17,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,524099,NAN,1.8,4.59,NAN
18,alchco,Alchornea costaricensis,WrightBCI2007,BCI50ha,NAN,2769,NAN,40,21.82211286,45.30492729
19,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,248354,NAN,24.8,16.31532511,NAN
20,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,260277,NAN,29,14.46833265,NAN
21,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,4934,NAN,80.9,31.6,NAN
22,alchco,Alchornea costaricensis,BohlmanBCI1997,BCI50ha,NAN,232830,NAN,7.8,12.91,9.402472653
23,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,415628,NAN,5.7,10.1,NAN
24,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,603222,NAN,6.3,10.5,NAN
25,alchco,Alchornea costaricensis,BohlmanBCI1997,BCI50ha,NAN,258263,NAN,27.9,15.09,52.81017251
26,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,610396,NAN,5.8,6.92,NAN
27,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,296262,NAN,20.9,15.2,NAN
28,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,252879,NAN,20.3,15,NAN
29,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,252921,NAN,27.9,17.3,NAN
30,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,257790,NAN,14,14.2,NAN
31,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,257770,NAN,22.7,15.5,NAN
32,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,93079,NAN,18.7,11.54900003,NAN
33,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,242768,NAN,3.7,4.35,NAN
34,alchco,Alchornea costaricensis,BohlmanBCI1997,BCI50ha,NAN,6772,NAN,39,19.36,65.61184841
35,alchco,Alchornea costaricensis,BohlmanBCI1997,BCI50ha,NAN,296262,NAN,17.7,14.19,27.33971007
36,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,5231,NAN,23.5,17.3,NAN
37,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,1086,NAN,43.1,22.1,NAN
38,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,257803,NAN,12.9,11.5,NAN
39,alchco,Alchornea costaricensis,BohlmanBCI1997,BCI50ha,NAN,4934,NAN,75.3,31.13,183.3735066
40,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,3691,NAN,15.1,12.8,NAN
41,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,3691,NAN,32.3,11.23543047,NAN
42,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,87714,NAN,40.5,17.4,NAN
43,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,248501,NAN,11,11.46194698,NAN
44,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,632318,NAN,8.3,9.56,NAN
45,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,257824,NAN,23.6,16,NAN
46,alchco,Alchornea costaricensis,BohlmanBCI1997,BCI50ha,NAN,121022,NAN,30.4,14.75,41.62484602
47,alchco,Alchornea costaricensis,WrightBCI2007,BCI50ha,NAN,1086,NAN,43,18.30980812,120.1306203
48,alchco,Alchornea costaricensis,WrightBCI2007,BCI50ha,NAN,6574,NAN,41.9,21.80682219,63.90030873
49,alchco,Alchornea costaricensis,MullerLandauBCI2000,BCI50ha,NAN,3260,NAN,42.8,19.9,NAN
50,allops,Allophylus psilospermus,WrightBCI2007,BCI50ha,NAN,99490,NAN,11.1,15.55,10.67957425
51,allops,Allophylus psilospermus,WrightBCI2007,BCI50ha,NAN,115892,NAN,11.2,17.23,31.51977581
52,allops,Allophylus psilospermus,MullerLandauBCI2000,BCI50ha,NAN,211615,NAN,12.4,11.3,NAN
53,allops,Allophylus psilospermus,MullerLandauBCI2000,BCI50ha,NAN,115892,NAN,11.3,16.1,NAN
54,allops,Allophylus psilospermus,WrightBCI2007,BCI50ha,NAN,259226,NAN,20.7,21.13201885,58.86254693
55,allops,Allophylus psilospermus,MullerLandauBCI2000,BCI50ha,NAN,141776,NAN,10.8,7.2,NAN
56,allops,Allophylus psilospermus,WrightBCI2007,BCI50ha,NAN,93583,NAN,13.1,10.45,NAN
57,allops,Allophylus psilospermus,WrightBCI2007,BCI50ha,NAN,67481,NAN,23.1,17.17,49.98313673
58,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,157025,NAN,15.8,10.24,14.25309171
59,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000315,110394,1.29,1.883467281,2.85,NAN
60,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,181662,NAN,24.1,20.9,NAN
61,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000405,432242,1.3,1.054618414,3,0.09817477
62,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,191079,NAN,3.8,5.32,0.950331778
63,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,47,NAN,44.3,23.1,NAN
64,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,47831,NAN,4.5,9.43,NAN
65,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,47240,NAN,2.5,4.41,NAN
66,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000228,3168,1,1.128980071,1.85,0.357356164
67,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,2933,NAN,90.4,32.4,NAN
68,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,820,NAN,39.9,20.1,NAN
