SP4$,N_SEEDFULL
ABUD,1
ABUR,1
ACAG,5.2
ACAT,3.4
ADEP,9.488095238
ADET,2.5
AECS,6.84
AECT,22.36
AEGC,2.75
AEGE,3.2
AEGP,1.5
AESE,6.08
ALBG,7.553333333
ALCC,1.666666667
ALIE,41.68
ALLC,37.1
ALLG,1
ALLP,1
ALSB,22.88888889
AMAC,12.68
AMPP,95.75
ANAE,1
ANAP,1.933333333
ANDI,1.15
ANES,47
ANNA,38.4
ANNG,157.4
ANNH,65.3
ANNS,231.2805556
ANT1,1.733333333
ANT2,2.68
ANT6,2.133333333
ANT7,1.04
ANTA,1.8
ANTB,2
ANTC,1.52
ANTO,2.28
ANTP,16.63333333
ANTT,1
APEM,165.16
APET,620.3633333
ARDB,1
ARDF,1
ARIC,821
ARR1,29.125
ARRP,16.75
ARRV,13.6
ASPC,6.518518519
ASTG,1
ASTS,1
ATTB,1.12
AZN2,1
BAC1,1
BAC2,1
BAC3,1
BACM,1
BANC,1
BEIP,1
BERG,NA
BOMQ,NA
BOMS,24.8
BONM,3.133333333
BROA,1
BROU,1
BUNC,1.92
BURS,1
BYRS,NA
CAL1,177
CAL2,1
CALI,2.7
CAND,5.72
CAPF,14.41679894
CARG,5.1
CARP,1539.3
CAS1,5.666666667
CAS2,5
CAS3,5.383333333
CAS4,14.91666667
CASC,7.016666667
CASG,7
CASR,28.4
CASS,NA
CAVP,1
CAYG,3.35
CECI,NA
CECL,NA
CECO,353
CECP,NA
CEDO,32.1
CEIP,NA
CELI,1
CENP,19.36
CEPL,10.2
CERT,165
CES1,80.25
CES2,1.16
CHAW,1
CHOP,1
CHOT,1
CHRA,3.5
CHRC,3.56
CHRO,NA
CISE,1
CIST,1
CLI1,NA
CLID,NA
CLIJ,9.2
CLIO,NA
CLIS,NA
CLU?,341
CLUM,173.2
CLUO,99.6
CLUU,224.6666667
CLUV,96.1
CNER,1
COC2,1
COCC,1
COCM,1
COCP,1
COCV,201.6888889
CODC,12
CODU,39.14285714
COMC,1
COMD,1
COMF,NA
COML,1
CON1,NA
CONP,1
CONT,1
CORA,1
CORB,1
CORL,1
CORP,NA
CORS,NA
COS2,50.46666667
COSS,458.2
COUC,1
COUH,NA
COUM,1.129
CRES,1
CRYW,1
CUEK,4
CUPC,2.5
CUPL,2.2
CUPR,2.133333333
CUPS,1.48
CYDA,26.08333333
CYML,1
CYMR,5.1
DALC,2
DALD,3.4
DALR,NA
DASS,1
DAVN,1
DENA,3.975
DESA,2
DESC,4
DESH,5.4
DESI,1
DESP,4.916666667
DESS,7
DIAG,1
DICH,6
DIOG,5
DIOR,3.56
DIOU,3.1
DIOW,2.32
DIPP,1
DOL1,1.854545455
DOL2,1.6
DOLD,1
DOLO,1.72
DRYS,1
DUSA,1.083333333
ELAO,1
ENTC,11.3
ENTM,10.4
ENTS,21.14285714
EPPR,99.2
ERYC,11.025
ERYP,1
ESCP,1.8
EUGC,1.03125
EUGG,1.04
EUGN,1.41
EUGO,1.44
EUGV,1.1
FARL,1
FARO,1
FEVC,2.933333333
FICI,NA
FIDU,NA
FIIN,231.6
FIOB,382.8761905
FIP2,124.3333333
FIPA,105.4
FIPO,148.8
FIS1,NA
FISF,1
FISI,1
